id;nome;rend_med_sm;populacao
1;Aarão Reis;1;2952
474;Acaba Mundo;0,47;1173
267;Acaiaca;0,91;2552
227;Conjunto Ademar Maldonado;1,62;1803
203;Aeroporto;3,28;1324
268;Águas Claras;0,51;2023
2;Alípio de Melo;1,97;9528
269;Alpes;0,78;2191
270;Alta Tensão I;0,58;2010
197;Alto Barroca;3,33;5206
3;Alto Caiçaras;2,31;7403
4;Alto dos Pinheiros;1,57;3190
258;Alto Vera Cruz;0,75;21444
5;Álvaro Camargos;2,53;1080
6;Anchieta;5,93;12720
7;Aparecida;1,2;9796
196;Aparecida Sétima Seção;1,05;4917
273;Ápia;0,86;405
274;Apolônia;0,52;6567
221;Araguaia;0,99;14626
225;Átila de Paiva;1,38;1207
9;Baleia;;17
124;Bandeirantes;3,96;5268
279;Barão Homem de Melo I;0,42;207
481;Barreiro;2,19;10053
12;Barro Preto;3,28;6140
11;Barroca;3,7;3304
256;Beija Flor;0,78;1258
283;Beira-Linha;0,57;4132
480;Bairro das Indústrias I;1,04;9063
276;Bairro das Indústrias II;1,01;1033
218;Bairro Novo das Indústrias;0,9;4614
254;Belmonte;0,93;2236
13;Belvedere;11,59;8828
286;Bernadete;0,61;1515
14;Betânia;1,47;12023
287;Biquinhas;0,56;1671
288;Bispo de Maura;0,42;436
497;Boa Esperança;0,59;546
234;Boa Viagem;5,51;4437
15;Boa Vista;1,27;17553
16;Bom Jesus;1,22;3602
17;Bonfim;1,84;4439
220;Bonsucesso;0,83;6360
230;Brasil Industrial;1,05;7029
45;Braúnas;2,57;1944
18;Buritis;4,63;29329
19;Cabana do Pai Tomás;0,68;17989
20;Cachoeirinha;1,74;9106
21;Caetano Furquim;0,53;370
22;Caiçara-Adelaide;2,51;10781
23;Caiçaras;2,21;13053
24;Calafate;2,83;7425
25;Califórnia;1,18;6546
26;Camargos;1,64;13057
27;Campo Alegre;1,1;2774
28;Campus UFMG;;0
29;Canaã;1,11;2614
295;Canadá;1,56;492
296;Candelária;1,29;7459
210;Capitão Eduardo;0,55;1194
30;Cardoso;1,12;10535
31;Carlos Prates;2,05;15146
32;Carmo;6,03;3808
33;Casa Branca;0,98;6351
232;Castanheira;0,65;5650
34;Castelo;3,48;17042
476;CDI Jatobá;;171
299;Cenáculo;1;2272
37;Centro;2,95;16669
38;Céu Azul;1,01;23777
39;Cidade Jardim;5,76;1465
478;Cidade Jardim Taquaril;3,65;173
40;Cidade Nova;4,02;15365
41;Colégio Batista;3,07;9583
302;Comiteco;7,63;1738
42;Concórdia;1,52;10622
303;Cônego Pinheiro;0,81;446
208;Confisco;0,73;4283
219;Conjunto Bonsucesso;0,52;1030
44;Conjunto Celso Machado;2,16;2696
306;Conjunto Jardim Filadélfia;0,64;3000
238;Conjunto Jatobá;0,61;3685
307;Conjunto Lagoa;1,45;662
308;Conjunto Minascaixa;0,58;4421
357;Conjunto Novo Dom Bosco;0,65;704
309;Conjunto Paulo VI;0,53;3211
145;Conjunto Santa Maria;0,99;1127
313;Conjunto Taquaril;0,49;14972
201;Copacabana;1,33;13286
47;Coqueiros;1,07;7647
239;Cinquentenário;1,43;5455
48;Coração de Jesus;5,04;5812
49;Coração Eucarístico;3,31;7617
264;Corumbiara;0,52;952
50;Cruzeiro;5,38;8135
315;Delta;0,74;949
228;Diamante;1,32;11913
248;Distrito Industrial do Jatobá;0,32;644
51;Dom Bosco;1,22;9689
52;Dom Cabral;2;4176
53;Dom Joaquim;1,59;3279
482;Conjunto Califórnia;2;3347
54;Dom Silvério;0,75;4115
55;Dona Clara;2,82;8839
56;Engenho Nogueira;2,94;1375
57;Ermelinda;1,33;3432
240;Ernesto do Nascimento;0,94;2142
317;Esperança;0,44;2146
58;Esplanada;2,17;8193
59;Estoril;3,51;4537
319;Estrela;0,65;1591
320;Estrela do Oriente;1,26;4721
60;Etelvina Carneiro;1,27;2331
61;Europa;0,9;10064
62;Eymard;1,05;3947
321;Fazendinha;0,56;3715
212;Fernão Dias;2,57;4178
223;Flávio de Oliveira;1,09;2872
66;Flávio Marques Lisboa;0,89;7859
67;Floramar;1,21;9620
68;Floresta;3,23;11718
10;Frei Leopoldo;0,78;1986
69;Funcionários;6,71;8800
70;Gameleira;1,42;313
182;Garças;3,53;930
71;Glória;1,24;14610
187;Goiânia;0,9;16228
8;Graça;2,81;4780
72;Grajaú;4,43;6255
257;Granja de Freitas;0,46;3602
251;Granja Werneck;0,58;1987
324;Grotinha;0,26;447
73;Guarani;1,26;7713
75;Gutierrez;4,85;17468
76;Havaí;1,56;15243
77;Heliópolis;1,69;6659
78;Horto;2,18;3330
327;Horto Florestal;1,33;5937
328;Imbaúbas;0,56;1809
79;Inconfidência;1,26;3457
266;Indaiá;2,37;3288
80;Independência;0,71;8332
215;Ipê;0,96;4687
82;Ipiranga;2,43;12070
235;Itaipu;0,81;7591
83;Itapoã;2,63;9473
329;Itatiaia;0,93;1772
84;Jaqueline;0,9;16170
85;Jaraguá;3,05;4051
249;Jardim Alvorada;0,94;9906
86;Jardim América;2,13;11155
46;Jardim Atlântico;2,56;1439
87;Jardim dos Comerciários;0,75;21223
207;Jardim Felicidade;0,6;15471
216;Jardim Guanabara;1,11;11606
483;Jardim Leblon;0,94;9349
88;Jardim Montanhês;1,74;5946
163;Jardim São José;0,89;6964
204;Jardim Vitória;0,74;9533
89;Jardinópolis;1,5;1721
90;Jatobá;0,81;3444
226;João Paulo II;1,27;1792
91;João Pinheiro;1,7;9574
265;Jonas Veiga;1,27;2573
74;Juliana;0,87;5877
92;Lagoa;0,69;9003
94;Lagoinha;1,85;3807
93;Lagoinha Leblon;0,85;5973
332;Lajedo;0,82;4860
334;Leonina;0,58;3663
95;Letícia;0,96;7715
96;Liberdade;2,99;4477
97;Lindéia;0,86;25706
98;Lourdes;7,02;18860
99;Luxemburgo;6,45;6412
100;Madre Gertrudes;1,05;4431
336;Madri;0,72;939
486;Mala e Cuia;1,71;60
337;Manacás;1,68;8248
101;Mangabeiras;7,14;2223
242;Mangueiras;0,87;3466
102;Mantiqueira;0,77;20263
103;Marajó;1,18;2876
341;Marçola;0,65;6556
